collection,série,titre,date,pages,prix,âge,scenario,dessin,contenu VO,EAN,url,url cover
DC Anthologie,Anthologie Flash,Anthologie Flash,2015-03-27,400,25.00,12+,Collectif,Collectif,,9782365776219,https://www.urban-comics.com/anthologie-flash/,https://bdi.dlpdomain.com/album/9782365776219/couv/M385x862/anthologie-flash.jpg
DC Anthologie,Batman Anthologie,Batman Anthologie,2013-12-06,368,25.00,12+,Collectif,Collectif,,9782365772730,https://www.urban-comics.com/batman-anthologie/,https://bdi.dlpdomain.com/album/9782365772730/couv/M385x862/batman-anthologie.jpg
DC Anthologie,DC Comics Anthologie,DC Comics Anthologie,2012-02-24,288,23.00,12+,Jerry Siegel|Bill Finger|Jim Steranko|Dick Sprang|Gail Simone|Dennis O'Neil|Mark Millar|William Moulton Marston|Edmond Hamilton|Gardner Fox|Paul Dini|John Byrne|John Broome|Grant Morrison|Geoff Johns,Joe Shuster|Howard Porter|Jim Steranko|Mike Sekowsky|Harry Peter|George Pérez|Kevin O'Neill|Gil Kane|Bob Kane|Carmine Infantino|John Byrne|Neal Adams|Jim Lee|Alex Ross|Dave Gibbons,,9782365770033,https://www.urban-comics.com/dc-comics-anthologie/,https://bdi.dlpdomain.com/album/9782365770033/couv/M385x862/dc-comics-anthologie.jpg
DC Anthologie,Jack Kirby Anthologie,Jack Kirby Anthologie,2012-12-07,336,21.80,12+,Jack Kirby,Jack Kirby,,9782365771276,https://www.urban-comics.com/jack-kirby-anthologie/,https://bdi.dlpdomain.com/album/9782365771276/couv/M385x862/jack-kirby-anthologie.jpg
DC Anthologie,Joker Anthologie,Joker Anthologie,2014-03-21,368,25.00,12+,Collectif,Collectif,,9782365773300,https://www.urban-comics.com/joker-anthologie/,https://bdi.dlpdomain.com/album/9782365773300/couv/M385x862/joker-anthologie.jpg
DC Anthologie,Justice League Anthologie,Justice League Anthologie,2017-10-27,400,25.00,12+,Dan Jurgens|Gardner Fox|Dan Abnett|Geoff Johns|Collectif,Dan Jurgens|George Pérez|Collectif,"The Brave And The Bold #28, Justice League of America #71, Justice League Of America #200, Justice League Of America Annual #2, DC Retroactive: Justice League America – The 1990s #1, Justice League America #61-62, Jla #27, Jla #61, Justice League Of America V2 #0, Justice League #51, Titans Annual #1",9791026811848,https://www.urban-comics.com/justice-league-anthologie/,https://bdi.dlpdomain.com/album/9791026811848/couv/M385x862/justice-league-anthologie.jpg
DC Anthologie,Shazam Anthologie,Shazam Anthologie,2019-03-29,416,25.00,9+,Collectif,Collectif,"Whiz Comics #2, Master Comics #23, Marvel Family #1, 10, Captain Marvel Adventures #148, Superman V1 #276, Shazam V1 #29, DC Comics Presents Annual #3, The Power of Shazam, The Flash V2 #107, Shazam: Power of Hope, All-New Batman Brave and the Bold #2, Convergence Shazam #1-2, Shazam V2 #1",9791026819448,https://www.urban-comics.com/shazam-anthologie/,https://bdi.dlpdomain.com/album/9791026819448/couv/M385x862/shazam-anthologie.jpg
DC Anthologie,Super-Vilains Anthologie,Super-Vilains Anthologie,2014-10-31,352,25.00,12+,Collectif,Collectif,,9782365774222,https://www.urban-comics.com/super-vilains-anthologie/,https://bdi.dlpdomain.com/album/9782365774222/couv/M385x862/super-vilains-anthologie.jpg
DC Anthologie,Superman Anthologie,Superman Anthologie,2013-03-22,320,23.00,12+,Collectif,Collectif,,9782365772006,https://www.urban-comics.com/superman-anthologie/,https://bdi.dlpdomain.com/album/9782365772006/couv/M385x862/superman-anthologie.jpg
DC Anthologie,Wonder Woman Anthologie,Wonder Woman Anthologie,2016-04-15,400,25.00,12+,Collectif,Collectif,,9782365778510,https://www.urban-comics.com/wonder-woman-anthologie/,https://bdi.dlpdomain.com/album/9782365778510/couv/M385x862/wonder-woman-anthologie.jpg
DC Archives,,Aquaman – La Mort du Prince,2018-12-07,344,29.00,9+,David Michelinie,Don NEWTON|Mike GRELL|Jim Aparo,"Contenu : Adventure Comics #435-437,441-455 + Aquaman #57-63",9791026818748,https://www.urban-comics.com/aquaman-la-mort-du-prince/,https://bdi.dlpdomain.com/album/9791026818748/couv/M385x862/aquaman-8211-la-mort-du-prince.jpg
DC Archives,Batman - Tales of the Demon,Batman – Tales of the Demon,2022-02-11,232,20.00,12+,Dennis O'Neil,Neal Adams|Collectif,,9782365777100,https://www.urban-comics.com/batman-tales-of-the-demon/,https://bdi.dlpdomain.com/album/9782365777100/couv/M385x862/batman-8211-tales-of-the-demon.jpg
DC Archives,Batman La Légende,Batman La Légende – Jim Aparo tome 1,2013-08-30,544,35.00,12+,Bob Haney,Jim Aparo,,9782365772525,https://www.urban-comics.com/batman-la-legende-jim-aparo-tome-1/,https://bdi.dlpdomain.com/album/9782365772525/couv/M385x862/batman-la-legende-8211-jim-aparo-tome-1.jpg
DC Archives,Batman La Légende,Batman La Légende _ Jim Aparo tome 2,2014-08-22,544,35.00,12+,Bob Haney,Jim Aparo,,9782365774314,https://www.urban-comics.com/batman-la-legende-_-jim-aparo-tome-2/,https://bdi.dlpdomain.com/album/9782365774314/couv/M385x862/batman-la-legende-jim-aparo-tome-2.jpg
DC Archives,Batman La Légende - Neal Adams,Batman La Légende – Neal Adams tome 1,2018-07-06,368,35.00,12+,Bob Haney|Dennis O'Neil,Neal Adams,"World's Finest Comics #175,176, Brave and the Bold #79-86, Detective Comics #395, 400, 402, Batman #219",9782365776707,https://www.urban-comics.com/batman-la-legende-neal-adams-tome-1/,https://bdi.dlpdomain.com/album/9782365776707/couv/M385x862/batman-la-legende-8211-neal-adams-tome-1.jpg
DC Archives,Batman La Légende - Neal Adams,Batman La Légende – Neal Adams tome 2,2018-12-07,384,35.00,12+,Dennis O'Neil|Len Wein,Neal Adams,"Contenu : Detective Comics #404, 407, 408, 410 + Batman #232, 234, 237, 243-245, 251, 255 + The Brave and the Bold #93 + ""Robin meets Man-Bat"", ""Trumping the Joker""",9791026821434,https://www.urban-comics.com/batman-la-legende-neal-adams-tome-2/,https://bdi.dlpdomain.com/album/9791026821434/couv/M385x862/batman-la-legende-8211-neal-adams-tome-2.jpg
DC Archives,Flash La Legende,Flash la légende tome 1,2016-01-29,,35.00,12+,John Broome,Carmine Infantino,,9782365778053,https://www.urban-comics.com/flash-la-legende-tome-1/,https://bdi.dlpdomain.com/album/9782365778053/couv/M385x862/flash-la-legende-tome-1.jpg
DC Archives,Green Arrow & Green Lantern,Green Arrow & Green Lantern,2014-06-13,368,33.18,12+,Dennis O'Neil,Neal Adams,,9782365773317,https://www.urban-comics.com/green-arrow-green-lantern/,https://bdi.dlpdomain.com/album/9782365773317/couv/M385x862/green-arrow-amp-green-lantern.jpg
DC Archives,Kamandi,Kamandi tome 1,2013-10-11,416,35.00,12+,Jack Kirby,Jack Kirby,,9782365773157,https://www.urban-comics.com/kamandi-tome-1/,https://bdi.dlpdomain.com/album/9782365773157/couv/M385x862/kamandi-tome-1.jpg
DC Archives,Kamandi,Kamandi tome 2,2014-02-14,440,35.00,12+,Jack Kirby,Jack Kirby,,9782365773324,https://www.urban-comics.com/kamandi-tome-2/,https://bdi.dlpdomain.com/album/9782365773324/couv/M385x862/kamandi-tome-2.jpg
DC Archives,Le Démon de Jack Kirby,Le Démon de Jack Kirby,2019-11-22,400,35.00,12+,Jack Kirby,Jack Kirby,The Demon #1-16,9791026816218,https://www.urban-comics.com/le-demon-de-jack-kirby/,https://bdi.dlpdomain.com/album/9791026816218/couv/M385x862/le-demon-de-jack-kirby.jpg
DC Archives,Les Gardiens De Terre-4,Les Gardiens De Terre-4,2017-12-01,392,33.18,12+,Steve Ditko,Steve Ditko,,9791026810131,https://www.urban-comics.com/les-gardiens-de-terre-4/,https://bdi.dlpdomain.com/album/9791026810131/couv/M385x862/les-gardiens-de-terre-4.jpg
DC Archives,Les Losers par Jack Kirby,Les Losers par Jack Kirby,2017-06-02,272,23.00,12+,Jack Kirby,Jack Kirby,,9791026811725,https://www.urban-comics.com/les-losers-par-jack-kirby/,https://bdi.dlpdomain.com/album/9791026811725/couv/M385x862/les-losers-par-jack-kirby.jpg
DC Archives,O.M.A.C.,O.M.A.C. par Kirby,2014-11-07,192,17.06,12+,Jack Kirby,Jack Kirby,,9782365775687,https://www.urban-comics.com/o-m-a-c-par-kirby/,https://bdi.dlpdomain.com/album/9782365775687/couv/M385x862/o-m-a-c-par-kirby.jpg
DC Archives,Quatrieme Monde (Le),Quatrieme Monde (Le) Tome 1,2015-01-23,408,35.00,12+,Jack Kirby,Jack Kirby,,9782365775786,https://www.urban-comics.com/quatrieme-monde-le-tome-1/,https://bdi.dlpdomain.com/album/9782365775786/couv/M385x862/quatrieme-monde-le-tome-1.jpg
DC Archives,Quatrieme Monde (Le),Quatrieme Monde (Le) tome 2,2015-12-04,,33.18,12+,Jack Kirby,Jack Kirby,,9782365778190,https://www.urban-comics.com/quatrieme-monde-le-tome-2/,https://bdi.dlpdomain.com/album/9782365778190/couv/M385x862/quatrieme-monde-le-tome-2.jpg
DC Archives,Quatrieme Monde (Le),Quatrieme Monde (Le) Tome 3,2017-01-27,400,35.00,12+,Jack Kirby,Jack Kirby,,9791026810360,https://www.urban-comics.com/quatrieme-monde-le-tome-3/,https://bdi.dlpdomain.com/album/9791026810360/couv/M385x862/quatrieme-monde-le-tome-3.jpg
DC Archives,Quatrieme Monde (Le),Quatrieme Monde (Le) Tome 4,2018-01-26,432,35.00,12+,Jack Kirby,Jack Kirby,"Jack Kirby's Fourth World Omnibus Vol.4 (Mister Miracle #10-18, Forever People #11, New Gods #11, New Gods #6, & DC Graphic Novel #4: The Hunger Dogs)",9791026813002,https://www.urban-comics.com/quatrieme-monde-le-tome-4/,https://bdi.dlpdomain.com/album/9791026813002/couv/M385x862/quatrieme-monde-le-tome-4.jpg
DC Archives,Superman – Adieu Kryptonite,Superman – Adieu Kryptonite,2016-12-09,192,18.00,12+,Dennis O'Neil,Curt Swan,,9791026810797,https://www.urban-comics.com/superman-adieu-kryptonite/,https://bdi.dlpdomain.com/album/9791026810797/couv/M385x862/superman-adieu-kryptonite.jpg
DC Beyond,Batman Beyond,Batman Beyond tome 1,2015-05-07,384,29.00,12+,Adam Beechen,Ryan Benjamin,,9782365777636,https://www.urban-comics.com/batman-beyond-tome-1/,https://bdi.dlpdomain.com/album/9782365777636/couv/M385x862/batman-beyond-tome-1.jpg
DC Beyond,Batman Beyond,Batman Beyond tome 2,2015-09-18,336,29.00,12+,Adam Beechen,Norm BREYFOGLE|Collectif|Ryan Benjamin,Batman Beyond Unlimited #1-18,9782365777735,https://www.urban-comics.com/batman-beyond-tome-2/,https://bdi.dlpdomain.com/album/9782365777735/couv/M385x862/batman-beyond-tome-2.jpg
DC Beyond,Batman Beyond,Batman Beyond tome 3,2021-08-20,488,29.00,12+,Kyle Higgins|Adam Beechen,Tony SILAS|Ryan Benjamin,Batman Beyond 2.0 (web) #1-40,9782365778923,https://www.urban-comics.com/batman-beyond-tome-3/,https://bdi.dlpdomain.com/album/9782365778923/couv/M385x862/batman-beyond-tome-3.jpg
DC Black Label,,Batman – Dark Knight III intégrale,2019-01-25,416,35.00,12+,Brian Azzarello|Frank Miller,Frank Miller|Andy Kubert,Batman: Dk Iii: The Master Race Hc (#1-9 + Minicomics),9791026815600,https://www.urban-comics.com/batman-dark-knight-iii-integrale/,https://bdi.dlpdomain.com/album/9791026815600/couv/M385x862/batman-8211-dark-knight-iii-integrale.jpg
DC Black Label,,Batman – Dark Knight Returns nouvelle édition Black Label,2019-01-25,240,23.00,15+,Frank Miller,Frank Miller,Absolute The Dark Knight Returns (#1-4),9791026821960,https://www.urban-comics.com/batman-dark-knight-returns-nouvelle-edition-black-label/,https://bdi.dlpdomain.com/album/9791026821960/couv/M385x862/batman-8211-dark-knight-returns-nouvelle-edition-black-label.jpg
DC Black Label,,Batman Last Knight on earth,2020-06-05,176,18.00,12+,Scott Snyder,Greg Capullo,Batman: Last Knight on Earth #1-3,9791026817406,https://www.urban-comics.com/batman-last-knight-on-earth/,https://bdi.dlpdomain.com/album/9791026817406/couv/M385x862/batman-last-knight-on-earth.jpg
DC Black Label,,Batman Créature de la nuit,2020-09-04,216,20.00,15+,Kurt Busiek,John Paul Leon,Batman: Creature of the Night #1-4,9791026817178,https://www.urban-comics.com/batman-creature-de-la-nuit/,https://bdi.dlpdomain.com/album/9791026817178/couv/M385x862/batman-creature-de-la-nuit.jpg
DC Black Label,,Batman – Créature de la nuit – édition Noir & Blanc,2020-09-04,216,27.49,15+,Kurt Busiek,John Paul Leon,Batman: Creature of the Night #1-4,9791026820987,https://www.urban-comics.com/batman-creature-de-la-nuit-edition-noir-blanc/,https://bdi.dlpdomain.com/album/9791026820987/couv/M385x862/batman-8211-creature-de-la-nuit-8211-edition-noir-amp-blanc.jpg
DC Black Label,,Superman Identité Secrète édition Black Label,2020-09-04,208,20.00,15+,Kurt Busiek,Stuart Immonen,Superman: Secret Identity #1-4,9791026821250,https://www.urban-comics.com/superman-identite-secrete-edition-black-label/,https://bdi.dlpdomain.com/album/9791026821250/couv/M385x862/superman-identite-secrete-edition-black-label.jpg
DC Black Label,,Dark Knight : The Golden Child,2020-09-18,136,16.00,12+,Frank Miller,Rafael Grampa,Contenu : Dark Knight: The Golden Child Deluxe Edition,9791026819479,https://www.urban-comics.com/dark-knight-the-golden-child/,https://bdi.dlpdomain.com/album/9791026819479/couv/M385x862/dark-knight-the-golden-child.jpg
DC Black Label,,Joker : Killer Smile,2020-09-18,144,16.00,Adulte,Jeff Lemire,Andrea Sorrentino,"Contenu : Joker : Killer Smile #1-3, Batman : Smile Killer #1",9791026818885,https://www.urban-comics.com/joker-killer-smile/,https://bdi.dlpdomain.com/album/9791026818885/couv/M385x862/joker-killer-smile.jpg
DC Black Label,,Wonder Woman – Dead Earth,2020-11-27,208,18.96,12+,Daniel Warren Johnson,Daniel Warren Johnson,Wonder Woman - Dead Earth #1-4,9791026817857,https://www.urban-comics.com/wonder-woman-dead-earth/,https://bdi.dlpdomain.com/album/9791026817857/couv/M385x862/wonder-woman-8211-dead-earth.jpg
DC Black Label,,Harley Quinn & les Birds of Prey,2021-07-09,144,16.00,12+,Jimmy Palmiotti|Amanda Conner,Amanda Conner,Harley and the birds of prey #1-4,9791026820758,https://www.urban-comics.com/harley-quinn-les-birds-of-prey/,https://bdi.dlpdomain.com/album/9791026820758/couv/M385x862/harley-quinn-amp-les-birds-of-prey.jpg
DC Black Label,,Harley/Joker Criminal Sanity,2021-08-20,,27.49,Adulte,Kami Garcia,Mico SUAYAN|Mike MAYHEW|Collectif,,9791026822240,https://www.urban-comics.com/harleyjoker-criminal-sanity/,https://bdi.dlpdomain.com/album/9791026822240/couv/M385x862/harley-joker-criminal-sanity.jpg
DC Black Label,,Batman White Knight : Harley Quinn,2021-11-12,176,18.00,9+,Sean Murphy|Katana Collins,Matteo Scalera,Batman White Knight presents Harley Quinn #1-6 + 10 pages de Harley Quinn Black White and Red réalisées par la même équipe artistique.,9791026820611,https://www.urban-comics.com/batman-white-knight-harley-quinn/,https://bdi.dlpdomain.com/album/9791026820611/couv/M385x862/batman-white-knight-harley-quinn.jpg
DC Black Label,,Batman White Knight : Harley Quinn édition N&B,2021-12-03,144,20.00,9+,Sean Murphy|Katana Collins,Matteo Scalera,Batman White Knight presents Harley Quinn #1-6 + 10 pages de Harley Quinn Black White and Red réalisées par la même équipe artistique.,9791026828594,https://www.urban-comics.com/batman-white-knight-harley-quinn-edition-nb/,https://bdi.dlpdomain.com/album/9791026828594/couv/M385x862/batman-white-knight-harley-quinn-edition-n-amp-b.jpg
DC Black Label,,Batman : Imposter,2022-02-25,176,17.06,Adulte,Mattson Tomlin,Andrea Sorrentino,Batman: The Imposter #1-3,9791026820673,https://www.urban-comics.com/batman-imposter/,https://bdi.dlpdomain.com/album/9791026820673/couv/M385x862/batman-imposter.jpg
DC Black Label,,Batman Imposter exclue Leclerc,2022-02-25,176,17.06,Adulte,Mattson Tomlin,Andrea Sorrentino,Batman: The Imposter #1-3,9791026824404,https://www.urban-comics.com/batman-imposter-exclue-leclerc/,https://bdi.dlpdomain.com/album/9791026824404/couv/M385x862/batman-imposter-exclue-leclerc.jpg
DC Black Label,American Vampire intégrale - Edition Black Label,American Vampire intégrale tome 1,2020-02-07,448,29.00,15+,Scott Snyder|Stephen King,Rafael Albuquerque|Collectif,American Vampire : Anthology #1-2 (extraits) + American Vampire #1-5 + #12 + #19-21 - Correspondants aux tomes 1 et 2 complétés d'extraits de l'anthologie publiée dans le tome 6,9791026816539,https://www.urban-comics.com/american-vampire-integrale-tome-1/,https://bdi.dlpdomain.com/album/9791026816539/couv/M385x862/american-vampire-integrale-tome-1.jpg
DC Black Label,American Vampire intégrale - Edition Black Label,American Vampire intégrale Tome 2,2020-10-23,448,29.00,15+,Scott Snyder|Stephen King,Rafael Albuquerque|Sean Murphy|Collectif,"Contenu : American Vampire : Anthology #1-2 + American Vampire #6-11 + 13-18 + American Vampire: Survival of the fittests #1-5, contient l'équivalent de Ameican Vampire tomes 2 & 3, ainsi que American Vampire Legacy tome 1",9791026822493,https://www.urban-comics.com/american-vampire-integrale-tome-2/,https://bdi.dlpdomain.com/album/9791026822493/couv/M385x862/american-vampire-integrale-tome-2.jpg
DC Black Label,American Vampire intégrale - Edition Black Label,American Vampire intégrale tome 3,2021-02-05,480,29.00,15+,Scott Snyder,Rafael Albuquerque|Dustin Nguyen|Collectif|Sean Murphy,American Vampire #22-34 + American Vampire: The Long Road To Hell #1 + American Vampire: Lord of Nightmares #1-5,9791026820147,https://www.urban-comics.com/american-vampire-integrale-tome-3/,https://bdi.dlpdomain.com/album/9791026820147/couv/M385x862/american-vampire-integrale-tome-3.jpg
DC Black Label,American Vampire intégrale - Edition Black Label,American Vampire intégrale tome 4,2021-05-07,344,29.00,15+,Scott Snyder,Rafael Albuquerque|Collectif|Sean Murphy,American Vampire Second Cycle #1-11 + American Vampire Anthology #1-2,9791026824916,https://www.urban-comics.com/american-vampire-integrale-tome-4/,https://bdi.dlpdomain.com/album/9791026824916/couv/M385x862/american-vampire-integrale-tome-4.jpg
DC Black Label,American Vampire intégrale - Edition Black Label,American Vampire intégrale tome 5,2021-11-19,272,23.00,15+,Scott Snyder,Rafael Albuquerque|Collectif|Sean Murphy,,9791026821694,https://www.urban-comics.com/american-vampire-integrale-tome-5/,https://bdi.dlpdomain.com/album/9791026821694/couv/M385x862/american-vampire-integrale-tome-5.jpg
DC Black Label,Basketful of Heads,Basketful of Heads,2021-04-02,192,18.00,12+,Joe Hill,Leomacs,Contenu : Basketful of Heads #1-7,9791026821168,https://www.urban-comics.com/basketful-of-heads/,https://bdi.dlpdomain.com/album/9791026821168/couv/M385x862/basketful-of-heads.jpg
DC Black Label,Batman - Curse of the White Knight,Batman – Curse of the White Knight,2020-10-02,288,23.00,12+,Sean Murphy,Sean Murphy,Batman Curse of the White Knight #1-8 + Batman White Knight presents : Von Freeze,9791026819752,https://www.urban-comics.com/batman-curse-of-the-white-knight-2/,https://bdi.dlpdomain.com/album/9791026819752/couv/M385x862/batman-8211-curse-of-the-white-knight.jpg
DC Black Label,Batman - Curse of the White Knight,Batman – Curse of the White Knight N&B,2020-10-02,256,29.00,12+,Sean Murphy,Sean Murphy,Batman Curse of the White Knight #1-8 + Batman White Knight presents : Von Freeze,9791026820055,https://www.urban-comics.com/batman-curse-of-the-white-knight-nb/,https://bdi.dlpdomain.com/album/9791026820055/couv/M385x862/batman-8211-curse-of-the-white-knight-n-amp-b.jpg
DC Black Label,Batman - Curse of the White Knight,Batman – Curse of the White Knight édition Fnac,2020-10-02,288,25.00,12+,Sean Murphy,Sean Murphy,Batman Curse of the White Knight #1-8 + Batman White Knight presents : Von Freeze,9791026826217,https://www.urban-comics.com/batman-curse-of-the-white-knight-edition-fnac/,https://bdi.dlpdomain.com/album/9791026826217/couv/M385x862/batman-8211-curse-of-the-white-knight-edition-fnac.jpg
DC Black Label,Batman - Damned,Batman : Damned – Édition spéciale Comic Con 2019,2019-10-25,160,15.17,Adulte,Brian Azzarello,Lee Bermejo,Contenu : Damned #1-3,9791026817505,https://www.urban-comics.com/batman-damned-edition-speciale-comic-con-2019/,https://bdi.dlpdomain.com/album/9791026817505/couv/M385x862/batman-damned-8211-edition-speciale-comic-con-2019.jpg
DC Black Label,Batman - Damned,Batman : Damned – édition Fnac,2019-10-25,160,16.00,Adulte,Brian Azzarello,Lee Bermejo,Contenu : Damned #1-3,9791026818380,https://www.urban-comics.com/batman-damned-edition-fnac/,https://bdi.dlpdomain.com/album/9791026818380/couv/M385x862/batman-damned-8211-edition-fnac.jpg
DC Black Label,Batman - Damned,Batman – Damned,2019-10-25,160,16.00,Adulte,Brian Azzarello,Lee Bermejo,Contenu : Damned #1-3,9791026816751,https://www.urban-comics.com/batman-damned/,https://bdi.dlpdomain.com/album/9791026816751/couv/M385x862/batman-8211-damned.jpg
DC Black Label,Batman - Damned,Batman Damned n&b offert – opération black label,2022-04-12,160,0.00,Adulte,Brian Azzarello,Lee Bermejo,Contenu : Damned #1-3,9791026822257,https://www.urban-comics.com/batman-damned-nb-offert-operation-black-label/,https://bdi.dlpdomain.com/album/9791026822257/couv/M385x862/batman-damned-n-amp-b-offert-8211-operation-black-label.jpg
DC Black Label,Batman Amère victoire,Batman Amère victoire,2022-01-14,408,35.00,12+,Jeph Loeb,Tim Sale,,9791026827924,https://www.urban-comics.com/batman-amere-victoire-2/,https://bdi.dlpdomain.com/album/9791026827924/couv/M385x862/batman-amere-victoire.jpg
DC Black Label,Batman Année Un - Edition Black Label,Batman Année Un – nouvelle édition Black Label,2020-02-14,144,16.00,12+,Frank Miller,David Mazzucchelli,Batman Year One Deluxe Edition (Batman #404-407),9791026817284,https://www.urban-comics.com/batman-annee-un-nouvelle-edition-black-label/,https://bdi.dlpdomain.com/album/9791026817284/couv/M385x862/batman-annee-un-8211-nouvelle-edition-black-label.jpg
DC Black Label,Batman Ego,Batman Ego,2022-01-14,168,16.00,Adulte,Darwyn Cooke,Darwyn Cooke,"Batman: Ego + histoires courtes (""Crime Convention"" + ""Déjà Vu"" + ""The Monument"" + ""There Be Monsters"")",9791026821564,https://www.urban-comics.com/batman-ego/,https://bdi.dlpdomain.com/album/9791026821564/couv/M385x862/batman-ego.jpg
DC Black Label,Batman Un Long Halloween,Batman Un Long Halloween,2022-01-14,408,35.00,12+,Jeph Loeb,Tim Sale,,9791026828280,https://www.urban-comics.com/batman-un-long-halloween-2/,https://bdi.dlpdomain.com/album/9791026828280/couv/M385x862/batman-un-long-halloween.jpg
DC Black Label,Batman White Knight,Batman White Knight couverture Fnac,2018-10-26,240,23.00,12+,Sean Murphy,Sean Murphy,Batman White Knight #1-8,9791026818700,https://www.urban-comics.com/batman-white-knight-couverture-fnac/,https://bdi.dlpdomain.com/album/9791026818700/couv/M385x862/batman-white-knight-couverture-fnac.jpg
DC Black Label,Batman White Knight,Batman White Knight – version N&B,2018-10-26,216,29.00,12+,Sean Murphy,Sean Murphy,Batman White Knight #1-8,9791026814375,https://www.urban-comics.com/batman-white-knight-version-nb/,https://bdi.dlpdomain.com/album/9791026814375/couv/M385x862/batman-white-knight-8211-version-n-amp-b.jpg
DC Black Label,Batman White Knight,Batman White Knight – version couleur,2018-10-26,240,23.00,12+,Sean Murphy,Sean Murphy,Batman White Knight #1-8,9791026814368,https://www.urban-comics.com/batman-white-knight-version-couleur/,https://bdi.dlpdomain.com/album/9791026814368/couv/M385x862/batman-white-knight-8211-version-couleur.jpg
DC Black Label,Batman's Grave,Batman's Grave,2021-05-07,304,29.00,12+,Warren Ellis,Bryan Hitch,,9791026821977,https://www.urban-comics.com/batmans-grave/,https://bdi.dlpdomain.com/album/9791026821977/couv/M385x862/batman-rsquo-s-grave.jpg
DC Black Label,Catwoman - Le dernier Braquage,Catwoman – Le dernier Braquage,2022-01-14,248,23.00,12+,Darwyn Cooke|Ed Brubaker,Darwyn Cooke,"Catwoman: Selina's Big Score + histoires Courtes (""Date Night"") + Detective Comics #759-762 + Catwoman #1-4",9791026825531,https://www.urban-comics.com/catwoman-le-dernier-braquage/,https://bdi.dlpdomain.com/album/9791026825531/couv/M385x862/catwoman-8211-le-dernier-braquage.jpg
DC Black Label,Catwoman - À Rome...,Catwoman – À Rome…,2022-01-28,160,16.00,Adulte,Jeph Loeb,Tim Sale,Catwoman - When In Rome,9791026824886,https://www.urban-comics.com/catwoman-a-rome/,https://bdi.dlpdomain.com/album/9791026824886/couv/M385x862/catwoman-8211-a-rome-8230.jpg
DC Black Label,DC The New Frontier- Edition Black Label,DC The New Frontier,2019-12-06,544,35.00,12+,Darwyn Cooke,Darwyn Cooke,,9791026817154,https://www.urban-comics.com/dc-the-new-frontier/,https://bdi.dlpdomain.com/album/9791026817154/couv/M385x862/dc-the-new-frontier.jpg
DC Black Label,Far Sector,Far Sector,2022-05-20,312,29.00,12+,N.K. Jemisin,Jamal Campbell,Far Sector #1-12,9791026826835,https://www.urban-comics.com/far-sector/,https://bdi.dlpdomain.com/album/9791026826835/couv/M385x862/far-sector.jpg
DC Black Label,Harleen,Harleen,2020-06-12,224,20.00,Adulte,Stjepan Sejic,Stjepan Sejic,Harleen #1-3,9791026816065,https://www.urban-comics.com/harleen/,https://bdi.dlpdomain.com/album/9791026816065/couv/M385x862/harleen.jpg
DC Black Label,Hellblazer Rise & Fall,Hellblazer Rise & Fall,2021-09-10,152,16.00,12+,Tom Taylor,Darick Robertson,Hellblazer: Rise & Fall #1-3,9791026827757,https://www.urban-comics.com/hellblazer-rise-fall/,https://bdi.dlpdomain.com/album/9791026827757/couv/M385x862/hellblazer-rise-amp-fall.jpg
DC Black Label,Joker - Edition Black Label,Joker – nouvelle édition Black Label,2019-09-27,144,16.00,15+,Brian Azzarello,Lee Bermejo,Absolute Joker,9791026819646,https://www.urban-comics.com/joker-nouvelle-edition-black-label/,https://bdi.dlpdomain.com/album/9791026819646/couv/M385x862/joker-8211-nouvelle-edition-black-label.jpg
DC Black Label,Kingdom Come - Edition Black Label,Kingdom Come — nouvelle édition,2019-12-06,336,29.00,12+,Mark Waid,Alex Ross,Absolute Kingdom Come,9791026816836,https://www.urban-comics.com/kingdom-come-nouvelle-edition/,https://bdi.dlpdomain.com/album/9791026816836/couv/M385x862/kingdom-come-8212-nouvelle-edition.jpg
DC Black Label,Le Dernier des Dieux,Le Dernier des Dieux tome 1,2021-03-12,96,17.00,Adulte,Phillip Kennedy Johnson,Riccardo Federici,#1-#4,9791026821519,https://www.urban-comics.com/le-dernier-des-dieux-tome-1/,https://bdi.dlpdomain.com/album/9791026821519/couv/M385x862/le-dernier-des-dieux-tome-1.jpg
DC Black Label,Le Dernier des Dieux,Le Dernier des Dieux tome 2,2021-06-25,96,17.00,Adulte,Phillip Kennedy Johnson,Riccardo Federici,#4-6,9791026824251,https://www.urban-comics.com/le-dernier-des-dieux-tome-2/,https://bdi.dlpdomain.com/album/9791026824251/couv/M385x862/le-dernier-des-dieux-tome-2.jpg
DC Black Label,Le Dernier des Dieux,Le Dernier des Dieux tome 3,2021-08-27,96,17.00,Adulte,Phillip Kennedy Johnson,Riccardo Federici,#7-9,9791026821021,https://www.urban-comics.com/le-dernier-des-dieux-tome-3/,https://bdi.dlpdomain.com/album/9791026821021/couv/M385x862/le-dernier-des-dieux-tome-3.jpg
DC Black Label,Le Dernier des Dieux,Le Dernier des Dieux tome 4,2021-12-03,136,17.00,Adulte,,Riccardo Federici,,9791026821243,https://www.urban-comics.com/le-dernier-des-dieux-tome-4/,https://bdi.dlpdomain.com/album/9791026821243/couv/M385x862/le-dernier-des-dieux-tome-4.jpg
